bssid,ssid,lat,lon,obs_count,last_seen
AC:8B:A9:5E:8F:CE,CC - Mini Homes,43.023508464897134,-83.69591599458016,1315,2025-11-09 16:13:11+00
18:D6:C7:3F:0D:EA,TP-LINK_0DEA,43.0221760469322,-83.69596009556119,1258,2025-11-09 16:10:27+00
A4:43:8C:64:2A:40,BLRS,43.023048302694676,-83.69708818834023,1191,2025-11-09 16:11:33+00
7C:F1:7E:CA:E8:A2,BLRS_EXT,43.02341958475735,-83.69680055666556,1127,2025-11-09 16:10:27+00
C0:94:35:1E:83:60,Get Off My Wifi,43.02309665977405,-83.69653948035202,1015,2025-08-12 14:09:23+00
7C:F1:7E:CA:E8:A3,BLRS_EXT,43.023097573877045,-83.69692544937226,967,2025-11-09 16:11:43+00
A6:43:8C:64:2A:43,BLRS,43.023043197142414,-83.69710498261087,887,2025-11-09 16:12:50+00
8C:19:2D:2B:E1:B0,DRI_Router_1B1,43.023025416703064,-83.69706626914561,832,2025-11-09 03:19:20+00
AC:8B:A9:5E:8F:CF,CC - Mini Homes,43.0236088902882,-83.69665076908066,819,2025-11-09 09:30:56+00
3A:64:07:47:17:B8,DIRECT-roku-TGT-852106,43.02345138588436,-83.6967557898154,807,2025-11-09 09:30:56+00
70:4F:B8:70:3A:76,Johnson House WiFi,43.023275195127916,-83.69666405769472,746,2025-08-26 10:50:55+00
CA:99:B2:1D:B7:2B,Delta3G-Guest,43.02344985609244,-83.69675584482506,744,2025-07-26 12:58:46+00
C8:9E:43:58:CD:13,GST Business Services,43.02234049369175,-83.69600591450377,698,2025-11-09 01:47:04+00
C8:99:B2:1D:B7:2B,HAL9000,43.02344043479343,-83.69679123726691,633,2025-07-26 12:45:36+00
18:0C:7A:EA:20:57,NPCI-5,43.02377065361122,-83.69735899100567,596,2025-11-04 18:18:26+00
54:07:7D:97:19:4F,The Muslim House,43.0231231708266,-83.69673985105698,583,2025-11-09 16:13:23+00
88:AD:43:CC:75:28,CBCI-84ED-2.4,43.02207833333333,-83.69587666666666,580,2025-11-09 16:13:11+00
C8:99:B2:1D:B7:2A,HAL9000,43.0234773075288,-83.6967532384212,575,2025-07-26 13:30:32+00
00:0D:67:91:34:DD,OutOfService,43.023351482280376,-83.69494843911654,530,2025-11-03 17:44:08+00
00:0D:67:91:34:DE,OutOfService,43.023351482280376,-83.69494843911654,523,2025-11-03 17:44:08+00
72:13:01:7E:41:72,XFSETUP-416C,43.02343514220356,-83.69680546252874,523,2025-10-21 07:09:22+00
00:0D:67:91:34:DF,OutOfService,43.023938660202035,-83.6948332276906,518,2025-11-02 22:49:33+00
7E:2D:7E:1B:46:79,TRENDnet840_4679,43.02385901801162,-83.69551186748483,518,2025-08-18 01:06:36+00
72:13:01:77:41:71,XFSETUP-416C,43.02343514220356,-83.69680546252874,464,2025-10-21 07:09:22+00
84:00:2D:6C:0E:88,CBCI-A81D-2.4,43.02345515974204,-83.69684027746285,447,2025-10-21 07:17:53+00
3E:2D:9E:C3:38:19,I_Dont_Know,43.023975708313046,-83.69614531878872,438,2025-11-09 03:59:58+00
70:4F:B8:70:3A:77,Johnson House WiFi,43.023275195127916,-83.69666405769472,438,2025-11-09 03:19:23+00
02:16:78:9D:E9:08,Johnson House WiFi-2.4G-ext,43.02340000036207,-83.69686168133809,418,2024-06-16 01:58:36+00
18:60:24:D6:F3:ED,DIRECT-EC-HP OfficeJet 4650,43.02338528118146,-83.69679391787083,412,2024-10-08 21:26:22+00
90:9D:7D:78:27:2B,HOME-CC23-2.4,43.023232446160065,-83.69758369427194,408,2025-10-21 03:17:20+00
04:D5:90:A4:E1:79,CRMobile,43.02370817037769,-83.69324988004614,403,2025-11-02 22:55:52+00
1C:9D:72:A1:A7:70,CBCI-A76C,43.02445853472985,-83.69681952500001,398,2025-10-26 10:49:23+00
00:E0:20:22:72:30,If you connect your gay,43.02340383370053,-83.69667107899078,395,2025-10-21 00:50:40+00
28:7A:EE:BC:1B:CA,Xfinity Mobile,43.02412953021103,-83.69354968690725,392,2025-11-02 22:56:27+00
DC:8D:8A:C4:CD:14,ATTtxvKkzx,43.02257805130332,-83.69592882726825,387,2025-11-08 17:40:39+00
82:4F:B8:70:3A:77,xfinitywifi,43.023275195127916,-83.69666405769472,371,2025-11-09 03:19:23+00
B6:8B:A9:6F:6B:A6,FACT,43.02360770723133,-83.69366223570607,368,2025-11-02 22:57:16+00
AC:8B:A9:6F:6B:A5,CC - Internal,43.02366634764593,-83.69347511302885,368,2025-11-02 22:57:11+00
30:E1:71:20:7E:EA,DIRECT-E8-HP OfficeJet Pro 6970,43.02326222169389,-83.69684249473357,365,2025-10-31 02:26:04+00
CA:99:B2:2E:55:13,Verizon_L3PRJH-IoT,43.02347830936686,-83.69682998050953,363,2024-06-16 02:01:47+00
AC:DF:9F:9E:F0:12,TMOBILE-F010,43.024413669225225,-83.69631837019105,359,2024-04-30 09:53:43+00
BA:8B:A9:6F:6B:A6,OS,43.02360770723133,-83.69366223570607,357,2025-11-02 22:57:16+00
B2:8B:A9:6F:6B:A6,CC - Guest,43.02360770723133,-83.69366223570607,355,2025-11-02 22:57:16+00
04:D5:90:A4:E1:71,CRMobile,43.02377443411197,-83.69318051825246,351,2025-11-02 22:56:27+00
AC:8B:A9:5D:FA:D6,CC - Internal,43.023530306328496,-83.69558040657884,345,2025-11-08 17:40:46+00
AC:8B:A9:6F:6B:A6,CC - Internal,43.02360770723133,-83.69366223570607,341,2025-11-02 22:57:16+00
