bssid,ssid,type,lat,lon,last_seen,sqlite_filename
8A:97:A9:9D:97:63,,W,0,0,,backup-1762704831407.sqlite
8A:9F:59:CA:77:21,,W,0,0,,backup-1762704831407.sqlite
8A:A1:DE:C8:3C:B8,,W,0,0,,backup-1762704831407.sqlite
8A:AC:B9:CE:2D:AA,,W,0,0,,backup-1762704831407.sqlite
8A:D5:9D:59:46:72,,W,0,0,,backup-1762704831407.sqlite
8A:D8:1B:C4:7D:46,,W,0,0,,backup-1762704831407.sqlite
8A:D8:1B:C4:7D:47,,W,0,0,,backup-1762704831407.sqlite
8A:D8:1B:C4:7E:1A,,W,0,0,,backup-1762704831407.sqlite
8A:F2:9E:16:DF:D0,,W,0,0,,backup-1762704831407.sqlite
8A:F2:9E:1B:03:40,,W,0,0,,backup-1762704831407.sqlite
8A:F2:9E:6E:9C:00,,W,0,0,,backup-1762704831407.sqlite
8A:F2:9E:70:DF:30,,W,0,0,,backup-1762704831407.sqlite
8A:F2:9E:78:0A:70,,W,0,0,,backup-1762704831407.sqlite
8C:0F:6F:0A:40:00,,W,0,0,,backup-1762704831407.sqlite
8C:0F:6F:0A:40:08,,W,0,0,,backup-1762704831407.sqlite
8C:0F:6F:2D:5A:C0,,W,0,0,,backup-1762704831407.sqlite
8C:0F:6F:85:AC:C0,,W,0,0,,backup-1762704831407.sqlite
8C:0F:6F:BC:60:58,,W,0,0,,backup-1762704831407.sqlite
8C:0F:6F:BC:FA:78,,W,0,0,,backup-1762704831407.sqlite
8C:0F:6F:D0:99:00,,W,0,0,,backup-1762704831407.sqlite
8C:0F:6F:D7:06:A8,,W,0,0,,backup-1762704831407.sqlite
8C:57:9B:91:D6:1C,,W,0,0,,backup-1762704831407.sqlite
8C:5A:25:BA:5D:00,,W,0,0,,backup-1762704831407.sqlite
8C:61:A3:65:6F:B6,,W,0,0,,backup-1762704831407.sqlite
8C:61:A3:65:6F:B7,,W,0,0,,backup-1762704831407.sqlite
8C:61:A3:6F:5E:AD,,W,0,0,,backup-1762704831407.sqlite
8C:61:A3:8D:C6:22,,W,0,0,,backup-1762704831407.sqlite
8C:61:A3:8F:90:C4,,W,0,0,,backup-1762704831407.sqlite
8C:61:A3:98:D9:51,,W,0,0,,backup-1762704831407.sqlite
8C:61:A3:98:D9:52,,W,0,0,,backup-1762704831407.sqlite
8C:61:A3:A3:90:26,,W,0,0,,backup-1762704831407.sqlite
8C:61:A3:B0:A8:A3,,W,0,0,,backup-1762704831407.sqlite
8C:6A:8D:AC:0C:74,,W,0,0,,backup-1762704831407.sqlite
8C:6A:8D:C7:36:D0,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:25:3C:25,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:31:28:6E,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:4F:E1:90,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:51:86:23,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:51:86:24,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:56:D4:D3,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:A2:71:7D,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:AB:50:DC,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:AB:83:63,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:AB:83:64,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:B9:2A:8B,,W,0,0,,j24.sqlite
8C:76:3F:CA:85:0A,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:CA:85:0B,,W,0,0,,backup-1762704831407.sqlite
8C:76:3F:CE:72:A3,,W,0,0,,backup-1762704831407.sqlite
8C:83:94:A1:1E:4D,,W,0,0,,backup-1762704831407.sqlite
8C:85:80:A5:55:6E,,W,0,0,,backup-1762704831407.sqlite
8E:04:24:AD:97:9E,,W,0,0,,backup-1762704831407.sqlite
8E:12:65:5C:68:19,,W,0,0,,backup-1762704831407.sqlite
8E:12:65:60:11:D7,,W,0,0,,backup-1762704831407.sqlite
8E:36:C8:9C:64:7F,,W,0,0,,backup-1762704831407.sqlite
8E:3E:1D:98:2F:99,,W,0,0,,backup-1762704831407.sqlite
8E:3E:43:7C:65:6B,,W,0,0,,backup-1762704831407.sqlite
8E:45:58:2E:73:BA,,W,0,0,,backup-1762704831407.sqlite
8E:49:62:2E:C7:C0,,W,0,0,,backup-1762704831407.sqlite
8E:49:62:3B:54:EB,,W,0,0,,backup-1762704831407.sqlite
8E:49:62:52:E5:DA,,W,0,0,,backup-1762704831407.sqlite
8E:53:E6:01:11:01,,W,0,0,,backup-1762704831407.sqlite
8E:53:E6:0A:0E:F4,,W,0,0,,backup-1762704831407.sqlite
8E:53:E6:0D:86:73,,W,0,0,,backup-1762704831407.sqlite
8E:53:E6:0E:4F:9C,,W,0,0,,backup-1762704831407.sqlite
