bssid,ssid,lat,lon,obs_count,last_seen,sqlite_filename
18:D6:C7:3F:0D:EA,TP-LINK_0DEA,43.0221760469322,-83.69596009556119,1258,2025-11-09 16:10:27+00,j24.sqlite
A4:43:8C:64:2A:40,BLRS,43.023048302694676,-83.69708818834023,1191,2025-11-09 16:11:33+00,g63.sqlite
7C:F1:7E:CA:E8:A2,BLRS_EXT,43.02341958475735,-83.69680055666556,1127,2025-11-09 16:10:27+00,j24.sqlite
C0:94:35:1E:83:60,Get Off My Wifi,43.02309665977405,-83.69653948035202,1015,2025-08-12 14:09:23+00,j24.sqlite
7C:F1:7E:CA:E8:A3,BLRS_EXT,43.023097573877045,-83.69692544937226,967,2025-11-09 16:11:43+00,g63.sqlite
A6:43:8C:64:2A:43,BLRS,43.023043197142414,-83.69710498261087,887,2025-11-09 16:12:50+00,g63.sqlite
8C:19:2D:2B:E1:B0,DRI_Router_1B1,43.023025416703064,-83.69706626914561,832,2025-11-09 03:19:20+00,g63.sqlite
3A:64:07:47:17:B8,DIRECT-roku-TGT-852106,43.02345138588436,-83.6967557898154,807,2025-11-09 09:30:56+00,g63.sqlite
C8:9E:43:58:CD:13,GST Business Services,43.02234049369175,-83.69600591450377,698,2025-11-09 01:47:04+00,s22.sqlite
18:0C:7A:EA:20:57,NPCI-5,43.02377065361122,-83.69735899100567,596,2025-11-04 18:18:26+00,g63.sqlite
7E:2D:7E:1B:46:79,TRENDnet840_4679,43.02385901801162,-83.69551186748483,518,2025-08-18 01:06:36+00,g63.sqlite
02:16:78:9D:E9:08,Johnson House WiFi-2.4G-ext,43.02340000036207,-83.69686168133809,418,2024-06-16 01:58:36+00,s22.sqlite
18:60:24:D6:F3:ED,DIRECT-EC-HP OfficeJet 4650,43.02338528118146,-83.69679391787083,412,2024-10-08 21:26:22+00,j24.sqlite
90:9D:7D:78:27:2B,HOME-CC23-2.4,43.023232446160065,-83.69758369427194,408,2025-10-21 03:17:20+00,s22.sqlite
00:E0:20:22:72:30,If you connect your gay,43.02340383370053,-83.69667107899078,395,2025-10-21 00:50:40+00,g63.sqlite
DC:8D:8A:C4:CD:14,ATTtxvKkzx,43.02257805130332,-83.69592882726825,387,2025-11-08 17:40:39+00,s22.sqlite
AC:8B:A9:6F:6B:A5,CC - Internal,43.02366634764593,-83.69347511302885,368,2025-11-02 22:57:11+00,j24.sqlite
CA:99:B2:2E:55:13,Verizon_L3PRJH-IoT,43.02347830936686,-83.69682998050953,363,2024-06-16 02:01:47+00,s22.sqlite
